experiment_id,model,method,policy,target,target_name,kind,n_positive,prevalence,auc,auc_ci_low,auc_ci_high,pr_auc
efficientnet_b4_mc_dropout_dual_metric,efficientnet_b4,mc_dropout,dual_metric,malignant,Malignant (risk head),risk_head,349,0.18320209973753282,0.9538085311687451,0.9425340041962967,0.964222979463696,0.8716350836929264
efficientnet_b4_mc_dropout_dual_metric,efficientnet_b4,mc_dropout,dual_metric,malignant,Malignant (summed class probs),summed_class_probs,349,0.18320209973753282,0.9544143752624097,0.9422166085164404,0.9651659968584142,0.8729634106935753
efficientnet_b4_mc_dropout_uncertainty_only,efficientnet_b4,mc_dropout,uncertainty_only,akiec,Actinic Keratoses,class_probability,51,0.026771653543307086,0.9527148507731033,0.9214338120651125,0.9784668982621427,0.6600349244496466
efficientnet_b4_mc_dropout_uncertainty_only,efficientnet_b4,mc_dropout,uncertainty_only,bcc,Basal Cell Carcinoma,class_probability,89,0.046719160104986876,0.9954709696579715,0.9912734866280266,0.9984888231336333,0.9431752988856289
efficientnet_b4_mc_dropout_uncertainty_only,efficientnet_b4,mc_dropout,uncertainty_only,bkl,Benign Keratosis,class_probability,206,0.10813648293963254,0.9647365383406573,0.953159350978597,0.9747454395713829,0.7762617415185058
efficientnet_b4_mc_dropout_uncertainty_only,efficientnet_b4,mc_dropout,uncertainty_only,df,Dermatofibroma,class_probability,9,0.004724409448818898,0.9998241912798875,0.9992941698881509,1.0,0.9626543209876544
efficientnet_b4_mc_dropout_uncertainty_only,efficientnet_b4,mc_dropout,uncertainty_only,mel,Melanoma,class_probability,209,0.10971128608923884,0.9446798546537871,0.9293108475330424,0.9586010258241089,0.7500275301973945
efficientnet_b4_mc_dropout_uncertainty_only,efficientnet_b4,mc_dropout,uncertainty_only,nv,Melanocytic Nevi,class_probability,1327,0.6965879265091863,0.9653353428786737,0.9578026034267453,0.9725806920638428,0.9850074798543531
efficientnet_b4_mc_dropout_uncertainty_only,efficientnet_b4,mc_dropout,uncertainty_only,vasc,Vascular Lesions,class_probability,14,0.007349081364829396,0.9993956334516885,0.9983798604187437,1.0,0.9393621084797555
efficientnet_b4_mc_dropout_uncertainty_only,efficientnet_b4,mc_dropout,uncertainty_only,malignant,Malignant (risk head),risk_head,349,0.18320209973753282,0.9497757087823454,0.9375886985018254,0.960119555351137,0.8507772588668675
efficientnet_b4_mc_dropout_uncertainty_only,efficientnet_b4,mc_dropout,uncertainty_only,malignant,Malignant (summed class probs),summed_class_probs,349,0.18320209973753282,0.9506098953307651,0.9385779462181465,0.9613271021260739,0.8531233046078587
resnet50_entropy_dual_metric,resnet50,entropy,dual_metric,akiec,Actinic Keratoses,class_probability,51,0.026771653543307086,0.9783615711656831,0.9647194152936055,0.988953751084669,0.7448563365723632
resnet50_entropy_dual_metric,resnet50,entropy,dual_metric,bcc,Basal Cell Carcinoma,class_probability,89,0.046719160104986876,0.996120625649656,0.9936075935002259,0.9981496251018538,0.9405018200525469
