model,method,method_key,round,total_labels,labeled_count,accuracy,f1_macro,fn_rate_malignant,unsafe_auto_accepts
efficientnet_b4,CoreSet,baseline_coreset,6,2590,3080,0.815748031496063,0.6953419935703149,0.2550143266475644,756
efficientnet_b4,CoreSet,baseline_coreset,7,2750,3240,0.8251968503937008,0.6987663274914305,0.2464183381088825,686
efficientnet_b4,CoreSet,baseline_coreset,8,2907,3397,0.8383202099737532,0.7366939144312982,0.2550143266475644,620
efficientnet_b4,CoreSet,baseline_coreset,9,3061,3551,0.8535433070866142,0.7596389733353711,0.2607449856733524,532
efficientnet_b4,CoreSet,baseline_coreset,10,3215,3705,0.8656167979002625,0.7726874644838189,0.2464183381088825,495
efficientnet_b4,CoreSet,baseline_coreset,11,3370,3860,0.8661417322834646,0.7810498757148654,0.2664756446991404,460
efficientnet_b4,CoreSet,baseline_coreset,12,3520,4010,0.8750656167979003,0.7937570413318991,0.2750716332378223,420
efficientnet_b4,CoreSet,baseline_coreset,13,3671,4161,0.8719160104986876,0.7944627945131303,0.2578796561604584,399
efficientnet_b4,CoreSet,baseline_coreset,14,3825,4315,0.8813648293963254,0.7861435717378517,0.3237822349570201,343
efficientnet_b4,CoreSet,baseline_coreset,15,3976,4466,0.8776902887139107,0.776712761912812,0.2578796561604584,331
efficientnet_b4,VAAL,baseline_vaal,1,1414,1904,0.1742782152230971,0.1346969259366327,0.2750716332378223,1107
efficientnet_b4,VAAL,baseline_vaal,2,1915,2405,0.6803149606299213,0.4611650193427854,0.326647564469914,1030
efficientnet_b4,VAAL,baseline_vaal,3,2095,2585,0.694488188976378,0.5096241132955984,0.2922636103151863,973
efficientnet_b4,VAAL,baseline_vaal,4,2268,2758,0.7343832020997375,0.5729288443348735,0.2951289398280802,931
efficientnet_b4,VAAL,baseline_vaal,5,2428,2918,0.7543307086614173,0.6050069479100155,0.2750716332378223,912
efficientnet_b4,VAAL,baseline_vaal,6,2590,3080,0.7900262467191601,0.6395832666110014,0.2979942693409742,895
